Date,JALSH Index
2002/12/10,9142.61
2002/12/11,9066.1
2002/12/12,9053.32
2002/12/13,9083.83
2002/12/17,9505.93
2002/12/18,9490.6
2002/12/19,9442.28
2002/12/20,9343.35
2002/12/23,9383.01
2002/12/24,9362.29
2002/12/27,9399.08
2002/12/30,9358.9
2002/12/31,9277.22
2003/01/02,9266.88
2003/01/03,9343.92
2003/01/06,9303.75
2003/01/07,9381.08
2003/01/08,9378.54
2003/01/09,9347.73
2003/01/10,9308.98
2003/01/13,9503.6
2003/01/14,9579.52
2003/01/15,9529.76
2003/01/16,9468.53
2003/01/17,9488.42
2003/01/20,9485.48
2003/01/21,9504.19
2003/01/22,9445.88
2003/01/23,9304.52
2003/01/24,9210.57
2003/01/27,9038.54
2003/01/28,9009.33
2003/01/29,8953.23
2003/01/30,8932.92
2003/01/31,8798.35
2003/02/03,8858.64
2003/02/04,8774.28
2003/02/05,8869.23
2003/02/06,8819.7
2003/02/07,8806.33
2003/02/10,8769.34
2003/02/11,8770.11
2003/02/12,8689.19
2003/02/13,8551.38
2003/02/14,8596.97
2003/02/17,8679.34
2003/02/18,8639.15
2003/02/19,8570.8
2003/02/20,8426.53
2003/02/21,8497.34
2003/02/24,8543.51
2003/02/25,8390.84
2003/02/26,8276.59
2003/02/27,8303.92
2003/02/28,8402.09
2003/03/03,8423.99
2003/03/04,8317.58
2003/03/05,8190.79
2003/03/06,8134.38
2003/03/07,7973.71
2003/03/10,7853.26
2003/03/11,7766.04
2003/03/12,7769.65
2003/03/13,7977.99
2003/03/14,8081.24
2003/03/17,8047.78
2003/03/18,8278.55
2003/03/19,8292.07
2003/03/20,8139.31
2003/03/24,8026.83
2003/03/25,7932.57
2003/03/26,7838.3
2003/03/27,7795.81
2003/03/28,7735.86
2003/03/31,7679.88
2003/04/01,7786.02
2003/04/02,7915.64
2003/04/03,7922.65
2003/04/04,7878.98
2003/04/07,8077.62
2003/04/08,7958.38
2003/04/09,7872.11
2003/04/10,7756.65
2003/04/11,7818.13
2003/04/14,7868.97
2003/04/15,7842.25
2003/04/16,7824.13
2003/04/17,7761.55
2003/04/22,7746.15
2003/04/23,7748.25
2003/04/24,7492.46
2003/04/25,7361.15
2003/04/29,7384.01
2003/04/30,7510.4
2003/05/02,7659.39
2003/05/05,7644.95
2003/05/06,7722.27
2003/05/07,7685.49
2003/05/08,7564.89
2003/05/09,7593.49
2003/05/12,7817.69
2003/05/13,7885.39
2003/05/14,8035.17
2003/05/15,8247.13
2003/05/16,8158.66
2003/05/19,8203.53
2003/05/20,8110.68
2003/05/21,8108.52
2003/05/22,8165.31
2003/05/23,8254.52
2003/05/26,8350.6
2003/05/27,8418.7
2003/05/28,8580.62
2003/05/29,8501.65
2003/05/30,8564.33
2003/06/02,8667.23
2003/06/03,8609.53
2003/06/04,8748.84
2003/06/05,8726.77
2003/06/06,8860.6
2003/06/09,8716.22
2003/06/10,8758
2003/06/11,8717.26
2003/06/12,8677.34
2003/06/13,8712.87
2003/06/17,8843.21
2003/06/18,8868.91
2003/06/19,8909.43
2003/06/20,8854.12
2003/06/23,8749.48
2003/06/24,8551.68
2003/06/25,8452.76
2003/06/26,8374.61
2003/06/27,8347.23
2003/06/30,8352.2
2003/07/01,8302.38
2003/07/02,8396.92
2003/07/03,8578.56
2003/07/04,8498.74
2003/07/07,8521.91
2003/07/08,8756.18
2003/07/09,8629.12
2003/07/10,8557.78
2003/07/11,8644.78
2003/07/14,8859.65
2003/07/15,8775.22
2003/07/16,8756
2003/07/17,8607.91
2003/07/18,8579.63
2003/07/21,8567.16
2003/07/22,8533.03
2003/07/23,8539.98
2003/07/24,8664.95
2003/07/25,8747.23
2003/07/28,8780.78
2003/07/29,8731.79
2003/07/30,8736.57
2003/07/31,8809.63
2003/08/01,8806.91
2003/08/04,8850.45
2003/08/05,8866.36
2003/08/06,8809.1
2003/08/07,8754.76
2003/08/08,8863.61
2003/08/11,8905.18
2003/08/12,8984.35
2003/08/13,9072.6
2003/08/14,8990.69
2003/08/15,9018.65
2003/08/18,9041.15
2003/08/19,9125.26
2003/08/20,9156.38
2003/08/21,9337.52
2003/08/22,9338.75
2003/08/25,9260.65
2003/08/26,9098.55
2003/08/27,9146.28
2003/08/28,9190.66
2003/08/29,9226.2
2003/09/01,9357.32
2003/09/02,9210.38
2003/09/03,9313.98
2003/09/04,9303.96
2003/09/05,9498.09
2003/09/08,9536
2003/09/09,9631.88
2003/09/10,9453.31
2003/09/11,9421.57
2003/09/12,9374.14
2003/09/15,9375.78
2003/09/16,9504.73
2003/09/17,9417.62
2003/09/18,9416.98
2003/09/19,9413.15
2003/09/22,9284.26
2003/09/23,9156.39
2003/09/25,9137.34
2003/09/26,9105.51
2003/09/29,9147.97
2003/09/30,8925.69
2003/10/01,8864.68
2003/10/02,8964.66
2003/10/03,9106.78
2003/10/06,9205.74
2003/10/07,9099.28
2003/10/08,9240.58
2003/10/09,9431.57
2003/10/10,9488.46
2003/10/13,9637.29
2003/10/14,9545.03
2003/10/15,9623.78
2003/10/16,9656.36
2003/10/17,9854.68
2003/10/20,9807.18
2003/10/21,9732.9
2003/10/22,9607.18
2003/10/23,9528.51
2003/10/24,9498.25
2003/10/27,9502.59
2003/10/28,9644.84
2003/10/29,9695.88
2003/10/30,9813.94
2003/10/31,9765.3
2003/11/03,9775.77
2003/11/04,9815.37
2003/11/05,9792.21
2003/11/06,9888.22
2003/11/07,9928.84
2003/11/10,9887.38
2003/11/11,9766.29
2003/11/12,9827.34
2003/11/13,9864.33
2003/11/14,9914.01
2003/11/17,9710.91
2003/11/18,9700.21
2003/11/19,9657.66
2003/11/20,9519.51
2003/11/21,9576.46
2003/11/24,9584.51
2003/11/25,9651.32
2003/11/26,9601.32
2003/11/27,9645.86
2003/11/28,9729.6
2003/12/01,9927.63
2003/12/02,9847.46
2003/12/03,9708.07
2003/12/04,9598.22
2003/12/05,9783.57
2003/12/08,9779.27
2003/12/09,9861.09
2003/12/10,9784.13
2003/12/11,9747.75
2003/12/12,9783.4
2003/12/15,9856.98
2003/12/17,9920.04
2003/12/18,10095.33
2003/12/19,10229.76
2003/12/22,10314.71
2003/12/23,10340.22
2003/12/24,10326.81
2003/12/29,10325.72
2003/12/30,10380.66
2003/12/31,10387.22
2004/01/02,10510.88
2004/01/05,10394.39
2004/01/06,10499.14
2004/01/07,10513.64
2004/01/08,10507.74
2004/01/09,10577.85
2004/01/12,10712.59
2004/01/13,10873.22
2004/01/14,10943.4
2004/01/15,10920.66
2004/01/16,11009.46
2004/01/19,10983.02
2004/01/20,10971.3
2004/01/21,10911.99
2004/01/22,11001.63
2004/01/23,11067.02
2004/01/26,11117.15
2004/01/27,11064.74
2004/01/28,10862.12
2004/01/29,10854.39
2004/01/30,10849.25
2004/02/02,10833.69
2004/02/03,10817.77
2004/02/04,10758.17
2004/02/05,10651.1
2004/02/06,10809.75
2004/02/09,10885.8
2004/02/10,10926.27
2004/02/11,10828.72
2004/02/12,10818.19
2004/02/13,10825.36
2004/02/16,10847.91
2004/02/17,10947.74
2004/02/18,10935.49
2004/02/19,11019.19
2004/02/20,10983.91
2004/02/23,10855.17
2004/02/24,10714.5
2004/02/25,10752.12
2004/02/26,10821.72
2004/02/27,10895.86
2004/03/01,11035.65
2004/03/02,11155.59
2004/03/03,11178.5
2004/03/04,11142.65
2004/03/05,11096.55
2004/03/08,11018.56
2004/03/09,11000.11
2004/03/10,10896.26
2004/03/11,10720.93
2004/03/12,10757.89
2004/03/15,10657.04
2004/03/16,10736.04
2004/03/17,10761.01
2004/03/18,10910.07
2004/03/19,10815.99
2004/03/23,10660.34
2004/03/24,10545
2004/03/25,10534.4
2004/03/26,10653.2
2004/03/29,10617.35
2004/03/30,10605.47
2004/03/31,10692.56
2004/04/01,10765.55
2004/04/02,10890.61
2004/04/05,10862.17
2004/04/06,10904.04
2004/04/07,10825.83
2004/04/08,10846.37
2004/04/13,10979.56
2004/04/15,10828.19
2004/04/16,10757.16
2004/04/19,10705.81
2004/04/20,10764.85
2004/04/21,10658.56
2004/04/22,10667.48
2004/04/23,10639
2004/04/26,10655.55
2004/04/28,10611.52
2004/04/29,10526.55
2004/04/30,10385.8
2004/05/03,10400.18
2004/05/04,10539.51
2004/05/05,10574.77
2004/05/06,10413.5
2004/05/07,10407.9
2004/05/10,10064.81
2004/05/11,10127.6
2004/05/12,10016.38
2004/05/13,10031.19
2004/05/14,9766.72
2004/05/17,9808.31
2004/05/18,9748.1
2004/05/19,10090.76
2004/05/20,10049.25
2004/05/21,10157.47
2004/05/24,9989.2
2004/05/25,10051.85
2004/05/26,10200.57
2004/05/27,10388.14
2004/05/28,10307.22
2004/05/31,10413.81
2004/06/01,10308.47
2004/06/02,10317.88
2004/06/03,10228.75
2004/06/04,10191.33
2004/06/07,10366.11
2004/06/08,10483.79
2004/06/09,10419.52
2004/06/10,10315.76
2004/06/11,10203.66
2004/06/14,10181.31
2004/06/15,10100.9
2004/06/17,10182.3
2004/06/18,10179.44
2004/06/21,10109.52
2004/06/22,10043.95
2004/06/23,9982.09
2004/06/24,10188.87
2004/06/25,10220.14
2004/06/28,10152.05
2004/06/29,10129.88
2004/06/30,10108.61
2004/07/01,10138.23
2004/07/02,10053.47
2004/07/05,10092.99
2004/07/06,10083.93
2004/07/07,10037.74
2004/07/08,9942.76
2004/07/09,10044.72
2004/07/12,10029.16
2004/07/13,10173.05
2004/07/14,10099.28
2004/07/15,10131.11
2004/07/16,10018.07
2004/07/19,9904.92
2004/07/20,9911.43
2004/07/21,10131.27
2004/07/22,9989.22
2004/07/23,10063.79
2004/07/26,10072.86
2004/07/27,10163.43
2004/07/28,10228.52
2004/07/29,10245.15
2004/07/30,10305.89
2004/08/02,10360.19
2004/08/03,10433.17
2004/08/04,10447.73
2004/08/05,10419.49
2004/08/06,10227.51
2004/08/10,10180.41
2004/08/11,10154.3
2004/08/12,10496.33
2004/08/13,10567.57
2004/08/16,10823.87
2004/08/17,10745.53
2004/08/18,10687.33
2004/08/19,10881.24
2004/08/20,10938.15
2004/08/23,11166.09
2004/08/24,11042.21
2004/08/25,10970.4
2004/08/26,11017.06
2004/08/27,11163.35
2004/08/30,11158
2004/08/31,11160.44
2004/09/01,11145.12
2004/09/02,11152.19
